Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
-21.28365219,-61.63117076,4,2010,0,-0.8356,33.88409336,-0.52,-99.9,,Brown et al. (2014)
-27.22842879,-60.8267496,4,2010,0,-0.5001,33.86412627,-0.5,-99.9,,Brown et al. (2014)
-32.94990722,-59.8802205,4,2010,0,-0.0514,34.03857115,-0.49,-99.9,,Brown et al. (2014)
29.998,-63.0011,2,2008,0,0.2915,33.8559,-0.49,-99.9,,Brown et al. (2014)
29.9983,-59.9988,2,2008,0,1.0516,33.811,-0.48,-99.9,,Brown et al. (2014)
7.7594,-58.3312,1,2009,0,-0.989,33.2516,-0.471959269,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,102.27692,-1.4584,34.07566601,-0.47,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,76.99559931,-1.7881,33.99125467,-0.47,-99.9,,Brown et al. (2014)
-41.82996568,-60.58995609,4,2010,25.37082619,0.709,34.07240507,-0.47,-99.9,,Brown et al. (2014)
-27.22842879,-60.8267496,4,2010,0,-0.4995,33.86368333,-0.47,-99.9,,Brown et al. (2014)
29.9954,-60.9973,2,2008,0,0.7462,33.7304,-0.47,-99.9,,Brown et al. (2014)
-24.26111279,-61.23080109,4,2010,0,-0.5695,33.743552,-0.46,-99.9,,Brown et al. (2014)
-17.07456409,-61.43093527,4,2010,0,-0.6617,33.9235191,-0.46,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,2.560851297,-1.1117,33.91567886,-0.45,-99.9,,Brown et al. (2014)
-3.11,-59.618,1,2009,0,-0.5847,33.8886,-0.445223867,-99.9,,Brown et al. (2014)
-43.99973158,-60.92015,3,2010,3.482757763,-0.1036,33.81949595,-0.44,-99.9,,Brown et al. (2014)
-31.47977598,-59.96988936,4,2010,0,-0.1435,33.79183859,-0.44,-99.9,,Brown et al. (2014)
31.0482,-68.2674,3,2008,0,-0.9042,34.0783,-0.44,-99.9,,Brown et al. (2014)
31.437,-68.3642,3,2008,0,-1.7293,34.188,-0.44,-99.9,,Brown et al. (2014)
7.7594,-58.3312,1,2009,0,-1.6631,34.1427,-0.432169568,-99.9,,Brown et al. (2014)
-48.27668266,-60.14617139,3,2010,102.361453,-0.2076,34.35695676,-0.43,-99.9,,Brown et al. (2014)
-39.11951735,-60.40996201,4,2010,6.859103453,0.251,33.9948734,-0.43,-99.9,,Brown et al. (2014)
-32.94990722,-59.8802205,4,2010,0,-0.1108,34.08191301,-0.43,-99.9,,Brown et al. (2014)
-21.28365219,-61.63117076,4,2010,0,-0.8281,33.88056596,-0.43,-99.9,,Brown et al. (2014)
-3.11,-59.618,1,2009,0,-0.5513,33.8854,-0.420983059,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,51.44476766,-0.7672,33.99061635,-0.42,-99.9,,Brown et al. (2014)
-54.40541426,-61.04088476,3,2010,28.03610054,0.5064,34.16361621,-0.42,-99.9,,Brown et al. (2014)
-54.40541426,-61.04088476,3,2010,8.173839537,0.4982,34.15273361,-0.42,-99.9,,Brown et al. (2014)
-46.76861793,-60.35475485,3,2010,6.466273837,-0.0824,34.0112112,-0.42,-99.9,,Brown et al. (2014)
-42.08962296,-60.6298,4,2010,32.59292409,0.3696,33.93349282,-0.42,-99.9,,Brown et al. (2014)
-41.9744901,-60.60973824,4,2010,10.11909202,0.2198,33.93430955,-0.42,-99.9,,Brown et al. (2014)
-39.30008956,-60.4098893,4,2010,5.500609135,0.3137,34.00671272,-0.42,-99.9,,Brown et al. (2014)
-38.70893653,-60.42034173,4,2010,50.40451505,0.3207,34.10440646,-0.42,-99.9,,Brown et al. (2014)
-33.1598256,-59.86000708,4,2010,0,-0.0236,34.05257076,-0.42,-99.9,,Brown et al. (2014)
29.9954,-60.9973,2,2008,0,0.7322,33.7363,-0.42,-99.9,,Brown et al. (2014)
29.9997,-65.0001,2,2008,0,0.2082,33.9116,-0.42,-99.9,,Brown et al. (2014)
29.9981,-68.0001,3,2008,0,-1.0539,34.0515,-0.42,-99.9,,Brown et al. (2014)
31.5311,-68.3996,3,2008,0,-1.2592,33.8868,-0.42,-99.9,,Brown et al. (2014)
7.7594,-58.3312,1,2009,0,-0.8834,33.5024,-0.41866813,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,177.3541185,-1.3598,34.37129413,-0.41,-99.9,,Brown et al. (2014)
-56.69307827,-61.39276161,3,2010,50.41644912,0.7137,33.99897229,-0.41,-99.9,,Brown et al. (2014)
-47.3357418,-60.1475918,3,2010,26.25891947,0.027,34.01919932,-0.41,-99.9,,Brown et al. (2014)
-42.20916553,-60.64996986,4,2010,25.46232068,-0.506,33.78494895,-0.41,-99.9,,Brown et al. (2014)
-33.1598256,-59.86000708,4,2010,0,-0.0252,34.05289477,-0.41,-99.9,,Brown et al. (2014)
-21.28365219,-61.63117076,4,2010,0,-0.8359,33.8862472,-0.41,-99.9,,Brown et al. (2014)
-19.79713011,-61.83249326,4,2010,0,-1.3746,34.25040716,-0.41,-99.9,,Brown et al. (2014)
29.9983,-59.9988,2,2008,0,1.1634,33.7815,-0.41,-99.9,,Brown et al. (2014)
29.9954,-60.9973,2,2008,0,0.7443,33.7358,-0.41,-99.9,,Brown et al. (2014)
30,-67,3,2008,0,-1.4388,34.2696,-0.41,-99.9,,Brown et al. (2014)
31.3703,-68.3502,3,2008,0,-1.7337,34.1969,-0.41,-99.9,,Brown et al. (2014)
31.3703,-68.3502,3,2008,0,-1.0644,34.0232,-0.41,-99.9,,Brown et al. (2014)
31.437,-68.3642,3,2008,0,-0.987,33.9713,-0.41,-99.9,,Brown et al. (2014)
31.5311,-68.3996,3,2008,0,-1.3031,33.8839,-0.41,-99.9,,Brown et al. (2014)
30.0001,-54.4999,1,2009,0,1.5809,33.9814,-0.409761799,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,152.0151165,-1.3632,34.32385548,-0.4,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,26.53340295,-0.2358,33.97628056,-0.4,-99.9,,Brown et al. (2014)
-47.69576,-60.12625712,3,2010,6.406603516,0.0993,34.09906344,-0.4,-99.9,,Brown et al. (2014)
-33.1598256,-59.86000708,4,2010,0,-0.0222,34.05470685,-0.4,-99.9,,Brown et al. (2014)
-24.26111279,-61.23080109,4,2010,0,-1.5042,34.38121167,-0.4,-99.9,,Brown et al. (2014)
29.9966,-61.9994,2,2008,0,0.7451,33.7471,-0.4,-99.9,,Brown et al. (2014)
30.1562,-66.0003,3,2008,0,-0.4667,34.0819,-0.4,-99.9,,Brown et al. (2014)
29.9981,-68.0001,3,2008,0,-0.9523,34.0449,-0.4,-99.9,,Brown et al. (2014)
31.3703,-68.3502,3,2008,0,-1.7341,34.2361,-0.4,-99.9,,Brown et al. (2014)
11.8957,-57.8961,1,2009,0,-0.4571,33.6987,-0.398441408,-99.9,,Brown et al. (2014)
27.3817,-54.0283,1,2009,0,1.462,34.0793,-0.392032443,-99.9,,Brown et al. (2014)
-56.67029959,-62.17087077,3,2010,980.9144477,-1.0673,34.53327258,-0.39,-99.9,,Brown et al. (2014)
-54.1711969,-60.9638972,3,2010,53.17222347,0.013,34.28574982,-0.39,-99.9,,Brown et al. (2014)
-41.82996568,-60.58995609,4,2010,50.5437458,0.7801,34.09094555,-0.39,-99.9,,Brown et al. (2014)
-39.30008956,-60.4098893,4,2010,27.77156212,0.3163,34.01169851,-0.39,-99.9,,Brown et al. (2014)
-39.11951735,-60.40996201,4,2010,49.59299868,0.2824,34.00515472,-0.39,-99.9,,Brown et al. (2014)
-32.94990722,-59.8802205,4,2010,0,-0.5121,34.27196705,-0.39,-99.9,,Brown et al. (2014)
-32.94990722,-59.8802205,4,2010,0,-0.0562,34.038073,-0.39,-99.9,,Brown et al. (2014)
-17.07456409,-61.43093527,4,2010,0,-1.563,34.38765732,-0.39,-99.9,,Brown et al. (2014)
29.9983,-59.9988,2,2008,0,1.1493,33.7849,-0.39,-99.9,,Brown et al. (2014)
29.9966,-61.9994,2,2008,0,0.7125,33.7737,-0.39,-99.9,,Brown et al. (2014)
29.998,-63.0011,2,2008,0,0.6782,33.8115,-0.39,-99.9,,Brown et al. (2014)
29.9966,-64.0001,2,2008,0,0.5466,33.8523,-0.39,-99.9,,Brown et al. (2014)
29.9966,-64.0001,2,2008,0,0.5464,33.8525,-0.39,-99.9,,Brown et al. (2014)
30.1562,-66.0003,3,2008,0,-0.4635,34.0816,-0.39,-99.9,,Brown et al. (2014)
30,-67,3,2008,0,-0.6153,34.0387,-0.39,-99.9,,Brown et al. (2014)
29.9981,-68.0001,3,2008,0,-0.9473,34.0446,-0.39,-99.9,,Brown et al. (2014)
11.8957,-57.8961,1,2009,0,-1.7187,34.1011,-0.388765874,-99.9,,Brown et al. (2014)
2.8575,-58.8172,1,2009,0,-1.7522,34.3582,-0.3810022,-99.9,,Brown et al. (2014)
-47.3357418,-60.1475918,3,2010,51.64565774,0.0268,34.02045989,-0.38,-99.9,,Brown et al. (2014)
-47.3357418,-60.1475918,3,2010,4.586658711,0.0307,34.02087302,-0.38,-99.9,,Brown et al. (2014)
-42.08962296,-60.6298,4,2010,1.727455807,-0.1055,33.86239609,-0.38,-99.9,,Brown et al. (2014)
-40.06982721,-60.43007884,4,2010,4.343999403,0.366,34.01801636,-0.38,-99.9,,Brown et al. (2014)
-38.70893653,-60.42034173,4,2010,7.960020885,-0.2022,33.94388359,-0.38,-99.9,,Brown et al. (2014)
-37.36984621,-60.46007739,4,2010,54.14186619,0.2124,34.1106402,-0.38,-99.9,,Brown et al. (2014)
-33.27957869,-59.84964554,4,2010,0,-0.0534,34.06487706,-0.38,-99.9,,Brown et al. (2014)
-31.47977598,-59.96988936,4,2010,0,-0.0334,33.97123442,-0.38,-99.9,,Brown et al. (2014)
-19.79713011,-61.83249326,4,2010,0,-0.6521,33.88289626,-0.38,-99.9,,Brown et al. (2014)
-17.07456409,-61.43093527,4,2010,0,-0.424165548,34.64178247,-0.38,-99.9,,Brown et al. (2014)
29.9983,-55.0095,2,2008,0,2.08,33.8931,-0.38,-99.9,,Brown et al. (2014)
29.9988,-58.9947,2,2008,0,1.2534,33.8205,-0.38,-99.9,,Brown et al. (2014)
30,-67,3,2008,0,-1.7379,34.3687,-0.38,-99.9,,Brown et al. (2014)
31.3703,-68.3502,3,2008,0,-1.7467,34.1536,-0.38,-99.9,,Brown et al. (2014)
31.5311,-68.3996,3,2008,0,-1.2822,33.8836,-0.38,-99.9,,Brown et al. (2014)
-3.11,-59.618,1,2009,0,-1.7121,34.2439,-0.378396122,-99.9,,Brown et al. (2014)
24.6381,-54.7528,1,2009,0,0.0165,33.9571,-0.377915594,-99.9,,Brown et al. (2014)
26.4887,-54.0029,1,2009,0,0.576,33.9684,-0.375556195,-99.9,,Brown et al. (2014)
2.8575,-58.8172,1,2009,0,-0.7635,33.8654,-0.375476388,-99.9,,Brown et al. (2014)
2.8575,-58.8172,1,2009,0,-0.38,34.6453,-0.375126904,-99.9,,Brown et al. (2014)
