Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,Notes,Citation
-40.45,59.15,9,2005,102.07,-99.9,-99.9,0.19,0.9,,Cox et al (2010)
-40.45,59.15,9,2005,51.27,-99.9,-99.9,0.21,1,,Cox et al (2010)
-41.59,59.39,9,2005,455.94,-99.9,-99.9,0.21,1.9,,Cox et al (2010)
-42.13,59.42,9,2005,251.45,-99.9,-99.9,0.28,2.2,,Cox et al (2010)
-42.13,59.42,9,2005,25.05,-99.9,-99.9,0.18,1.6,,Cox et al (2010)
-42.39,59.48,9,2005,172.96,-99.9,-99.9,-0.02,0.1,,Cox et al (2010)
-42.39,59.48,9,2005,102.97,-99.9,-99.9,-0.09,-0.5,,Cox et al (2010)
-42.39,59.48,9,2005,92.27,-99.9,-99.9,-0.16,-1.9,,Cox et al (2010)
-42.39,59.48,9,2005,72.34,-99.9,-99.9,-0.22,-1.6,,Cox et al (2010)
-42.39,59.48,9,2005,11.68,-99.9,-99.9,-1.25,-9.9,,Cox et al (2010)
-42.39,59.48,9,2005,3.28,-99.9,-99.9,-1.37,-11,,Cox et al (2010)
-42.51,59.52,9,2005,13.1,-99.9,-99.9,-1.32,-10.8,,Cox et al (2010)
-42.51,59.52,9,2005,5.03,-99.9,-99.9,-1.71,-14.5,,Cox et al (2010)
-43.02,59.54,9,2005,163.5,-99.9,-99.9,-0.03,-0.9,,Cox et al (2010)
-43.02,59.54,9,2005,123.1,-99.9,-99.9,-0.29,-2.9,,Cox et al (2010)
-43.02,59.54,9,2005,113.15,-99.9,-99.9,-0.38,-4.9,,Cox et al (2010)
-43.02,59.54,9,2005,102.97,-99.9,-99.9,-0.62,-5.5,,Cox et al (2010)
-43.02,59.54,9,2005,72.88,-99.9,-99.9,-0.99,-8.1,,Cox et al (2010)
-43.02,59.54,9,2005,52.43,-99.9,-99.9,-1.2,-8.6,,Cox et al (2010)
-43.02,59.54,9,2005,27.27,-99.9,-99.9,-1.54,-13,,Cox et al (2010)
-43.02,59.54,9,2005,5.21,-99.9,-99.9,-1.96,-16.1,,Cox et al (2010)
-43.06,59.57,9,2005,152.74,-99.9,-99.9,-0.39,-4.6,,Cox et al (2010)
-43.06,59.57,9,2005,122.23,-99.9,-99.9,-0.35,-5,,Cox et al (2010)
-43.06,59.57,9,2005,76.72,-99.9,-99.9,-1.06,-7.9,,Cox et al (2010)
-43.06,59.57,9,2005,51.16,-99.9,-99.9,-1.14,-9.3,,Cox et al (2010)
-43.06,59.57,9,2005,41.55,-99.9,-99.9,-1.55,-11.3,,Cox et al (2010)
-43.06,59.57,9,2005,25.78,-99.9,-99.9,-1.78,-13.7,,Cox et al (2010)
-43.06,59.57,9,2005,11.12,-99.9,-99.9,-1.89,-14.5,,Cox et al (2010)
-43.06,59.57,9,2005,101.91,-99.9,-99.9,-0.73,-4.6,,Cox et al (2010)
-43.07,59.57,9,2005,182.31,-99.9,-99.9,-0.17,-0.9,,Cox et al (2010)
-43.07,59.57,9,2005,152.17,-99.9,-99.9,-0.05,-2.4,,Cox et al (2010)
-43.07,59.57,9,2005,121.61,-99.9,-99.9,-0.3,-2.5,,Cox et al (2010)
-43.07,59.57,9,2005,111.41,-99.9,-99.9,-0.34,-2.7,,Cox et al (2010)
-43.07,59.57,9,2005,91.04,-99.9,-99.9,-0.65,-5.4,,Cox et al (2010)
-43.07,59.57,9,2005,80.94,-99.9,-99.9,-0.76,-5.8,,Cox et al (2010)
-43.07,59.57,9,2005,70.7,-99.9,-99.9,-0.93,-7.5,,Cox et al (2010)
-43.07,59.57,9,2005,40.47,-99.9,-99.9,-1.24,-10.3,,Cox et al (2010)
-43.07,59.57,9,2005,25.49,-99.9,-99.9,-1.39,-11.3,,Cox et al (2010)
-43.07,59.57,9,2005,25.5,-99.9,-99.9,-1.4,-11.4,,Cox et al (2010)
-43.07,59.57,9,2005,10.49,-99.9,-99.9,-1.59,-12.7,,Cox et al (2010)
-43.07,59.57,9,2005,3.49,-99.9,-99.9,-1.8,-13.2,,Cox et al (2010)
-42.58,59.55,9,2005,177.41,-99.9,-99.9,0.22,0.6,,Cox et al (2010)
-42.58,59.55,9,2005,132.31,-99.9,-99.9,0.06,-0.6,,Cox et al (2010)
-42.58,59.55,9,2005,122.32,-99.9,-99.9,-0.13,-1.8,,Cox et al (2010)
-42.58,59.55,9,2005,71.5,-99.9,-99.9,-0.54,-4.9,,Cox et al (2010)
-42.58,59.55,9,2005,61.3,-99.9,-99.9,-0.87,-6.4,,Cox et al (2010)
-42.58,59.55,9,2005,51.38,-99.9,-99.9,-1.02,-7.3,,Cox et al (2010)
-42.58,59.55,9,2005,40.93,-99.9,-99.9,-1,-7.8,,Cox et al (2010)
-42.58,59.55,9,2005,25.97,-99.9,-99.9,-1.23,-9.7,,Cox et al (2010)
-42.58,59.55,9,2005,10.65,-99.9,-99.9,-1.46,-12.1,,Cox et al (2010)
-42.58,59.55,9,2005,2.5,-99.9,-99.9,-1.82,-14.2,,Cox et al (2010)
-42.58,59.55,9,2005,81.66,-99.9,-99.9,-0.43,-4.1,,Cox et al (2010)
-42.38,59.5,9,2005,178.32,-99.9,-99.9,0.09,-0.1,,Cox et al (2010)
-42.38,59.5,9,2005,166.17,-99.9,-99.9,0.12,0.7,,Cox et al (2010)
-42.38,59.5,9,2005,82.23,-99.9,-99.9,-0.29,-1.9,,Cox et al (2010)
-42.38,59.5,9,2005,22.02,-99.9,-99.9,-0.92,-7.7,,Cox et al (2010)
-42.38,59.5,9,2005,11.88,-99.9,-99.9,-1.01,-8.3,,Cox et al (2010)
-42.38,59.5,9,2005,2.1,-99.9,-99.9,-1.22,-9.4,,Cox et al (2010)
14.06,35.51,11,2001,100,-99.9,-99.9,1.02,7.6,,Cox et al (2001)
13.01,35.47,11,2001,20,-99.9,-99.9,1.06,7.5,,Cox et al (2001)
13.01,35.47,11,2001,100,-99.9,-99.9,1.04,7.8,,Cox et al (2001)
19.11,32.46,11,2001,20,-99.9,-99.9,1.27,9.2,,Cox et al (2001)
19.11,32.46,11,2001,100,-99.9,-99.9,1.18,8.4,,Cox et al (2001)
23.29,33.43,11,2001,20,-99.9,-99.9,1.22,9,,Cox et al (2001)
23.29,33.43,11,2001,100,-99.9,-99.9,1.17,8.2,,Cox et al (2001)
23.37,32.59,11,2001,100,-99.9,-99.9,1.18,8.8,,Cox et al (2001)
25.39,34.27,11,2001,20,-99.9,-99.9,1.37,10,,Cox et al (2001)
25.39,34.27,11,2001,100,-99.9,-99.9,1.29,9.6,,Cox et al (2001)
32.34,33.27,11,2001,20,-99.9,-99.9,1.44,10.3,,Cox et al (2001)
32.34,33.27,11,2001,100,-99.9,-99.9,1.33,9.9,,Cox et al (2001)
34.06,32.38,11,2001,20,-99.9,-99.9,1.53,10.8,,Cox et al (2001)
34.06,32.38,11,2001,100,-99.9,-99.9,1.33,10.3,,Cox et al (2001)
33.54,34.18,11,2001,20,-99.9,-99.9,1.42,10.5,,Cox et al (2001)
33.54,34.18,11,2001,100,-99.9,-99.9,1.46,10.7,,Cox et al (2001)
31.47,34.31,11,2001,20,-99.9,-99.9,1.55,10.9,,Cox et al (2001)
31.47,34.31,11,2001,100,-99.9,-99.9,1.49,10.7,,Cox et al (2001)
30.27,35.34,11,2001,20,-99.9,-99.9,1.45,10.3,,Cox et al (2001)
30.27,35.34,11,2001,100,-99.9,-99.9,1.37,9.2,,Cox et al (2001)
27.34,35.29,11,2001,20,-99.9,-99.9,1.41,10,,Cox et al (2001)
27.34,35.29,11,2001,100,-99.9,-99.9,1.41,10.1,,Cox et al (2001)
27.33,35.45,11,2001,20,-99.9,-99.9,1.43,10.5,,Cox et al (2001)
27.33,35.45,11,2001,100,-99.9,-99.9,1.42,10,,Cox et al (2001)
27.04,36.24,11,2001,20,-99.9,-99.9,1.45,10.5,,Cox et al (2001)
27.04,36.24,11,2001,100,-99.9,-99.9,1.42,10.5,,Cox et al (2001)
26.35,35.39,11,2001,20,-99.9,-99.9,1.4,10.2,,Cox et al (2001)
26.35,35.39,11,2001,100,-99.9,-99.9,1.42,10.8,,Cox et al (2001)
25.1,35.51,11,2001,20,-99.9,-99.9,1.39,9.6,,Cox et al (2001)
25.1,35.51,11,2001,100,-99.9,-99.9,1.38,10.2,,Cox et al (2001)
