Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
-121.01999,70.59,10,2003,3.7,-1.37,27.29,-4.19,-99.9,,Lansard et al (2012)
-121.01999,70.59,10,2003,4.5,-1.38,27.27,-4.16,-99.9,,Lansard et al (2012)
-121.01999,70.59,10,2003,9.6,-1.38,27.27,-4.13,-99.9,,Lansard et al (2012)
-121.01999,70.59,10,2003,14.1,-1.23,27.31,-4.12,-99.9,,Lansard et al (2012)
-121.01999,70.59,10,2003,26.1,0.15,29.99,-3.42,-99.9,,Lansard et al (2012)
-121.01999,70.59,10,2003,50.5,-1.17,32.16,-2.51,-99.9,,Lansard et al (2012)
-121.01999,70.59,10,2003,74.8,-1.49,32.66,-2.13,-99.9,,Lansard et al (2012)
-121.01999,70.59,10,2003,101.1,-1.42,32.86,-1.72,-99.9,,Lansard et al (2012)
-121.817,70.60,11,2003,2.0,-1.47,27.23,-4.18,-99.9,,Lansard et al (2012)
-122.651,70.60,11,2003,2.2,-1.45,27.18,-4.25,-99.9,,Lansard et al (2012)
-123.41501,70.60,11,2003,3.7,-1.26,26.40,-4.42,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,1.8,-0.74,26.82,-4.22,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,3.4,-0.73,26.90,-4.21,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,7.3,-0.57,27.11,-4.16,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,12.1,-0.73,27.34,-3.98,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,24.3,-0.13,27.87,-3.56,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,36.4,0.29,30.27,-3.34,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,49.5,-0.79,31.68,-2.61,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,74.1,-1.27,32.32,-2.37,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,98.6,-1.41,32.59,-2.22,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,125.5,-1.48,32.73,-2.07,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,153.3,-1.52,32.83,-1.99,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,196.7,-1.43,33.16,-1.57,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,275.1,-0.03,34.52,0.07,-99.9,,Lansard et al (2012)
-124.246,70.74,10,2003,451.6,0.28,34.74,0.16,-99.9,,Lansard et al (2012)
-124.44,70.74,10,2003,1.3,-1.09,27.25,-4.15,-99.9,,Lansard et al (2012)
-124.711,70.74,10,2003,1.6,-1.17,27.23,-4.15,-99.9,,Lansard et al (2012)
-125.03101,70.74,10,2003,1.2,-1.26,27.20,-4.15,-99.9,,Lansard et al (2012)
-125.285,70.74,10,2003,1.6,-1.36,26.68,-4.27,-99.9,,Lansard et al (2012)
-125.571,70.74,10,2003,1.2,-1.36,25.95,-4.47,-99.9,,Lansard et al (2012)
-125.83899,70.74,10,2003,2.3,-1.31,25.95,-4.50,-99.9,,Lansard et al (2012)
-126.375,70.74,10,2003,1.6,-1.33,25.59,-4.59,-99.9,,Lansard et al (2012)
-126.521,70.74,10,2003,1.7,-1.37,25.37,-4.63,-99.9,,Lansard et al (2012)
-126.631,70.74,10,2003,1.7,-1.38,25.80,-4.47,-99.9,,Lansard et al (2012)
-126.81799,70.74,10,2003,1.4,-1.39,25.39,-4.63,-99.9,,Lansard et al (2012)
-126.81799,70.74,10,2003,7.6,-1.38,25.41,-4.63,-99.9,,Lansard et al (2012)
-126.81799,70.74,10,2003,15.5,-0.89,28.29,-3.76,-99.9,,Lansard et al (2012)
-126.81799,70.74,10,2003,25.4,-0.41,31.07,-3.04,-99.9,,Lansard et al (2012)
