Longitude,Latitude,Month,Year,Sample Depth,Temperature,Salinity,d18,dD,Notes,Citation
157.5,1.93,5,2012,1,-99.9,35.01,0.28,0.55,,Conroy (2012)
157.4,2.01,5,2012,1,-99.9,34.94,0.29,1.89,,Conroy (2012)
157.49,1.49,5,2012,1,-99.9,34.97,0.3,1.84,,Conroy (2012)
157.31,1.97,5,2012,1,-99.9,34.97,0.31,1.74,,Conroy (2012)
157.34,1.86,5,2012,1,-99.9,34.89,0.32,1.83,,Conroy (2012)
157.34,1.91,5,2012,1,-99.9,34.93,0.32,1.96,,Conroy (2012)
157.3,1.75,5,2012,1,-99.9,35.02,0.32,2.53,,Conroy (2012)
157.5,1.93,5,2012,1,-99.9,34.95,0.35,1.14,,Conroy (2012)
157.34,1.84,5,2012,1,-99.9,34.87,0.36,1.47,,Conroy (2012)
157.5,1.85,5,2012,1,-99.9,35.01,0.41,1.97,,Conroy (2012)
157.36,1.78,5,2012,1,-99.9,35.13,0.42,2.42,,Conroy (2012)
157.17,1.7,5,2012,1,-99.9,35.07,0.43,2.48,,Conroy (2012)
157.5,1.94,5,2012,1,-99.9,35.31,0.43,3.28,,Conroy (2012)
157.31,1.98,5,2012,1,-99.9,35.13,0.51,2.46,,Conroy (2012)
158.21,19.07,5,2012,5,24.53,34.67,0.218,2.564,,Conroy (2012)
157.95,20.81,5,2012,5,24.48,34.83,0.233,2.943,,Conroy (2012)
158.85,14.75,5,2012,5,24.66,34.58,0.244,2.711,,Conroy (2012)
159.35,11.33,5,2012,5,25.87,34.64,0.251,2.751,,Conroy (2012)
158.67,15.99,5,2012,5,24.67,34.62,0.275,2.671,,Conroy (2012)
159.53,10.07,5,2012,5,25.9,34.59,0.283,2.468,,Conroy (2012)
159.74,8.62,5,2012,5,26.89,34.9,0.305,3.519,,Conroy (2012)
158.46,17.41,5,2012,5,24.37,34.67,0.314,1.384,,Conroy (2012)
159.12,12.89,5,2012,5,25.67,34.74,0.315,2.983,,Conroy (2012)
160.13,8.2,5,2012,5,26.89,34.9,0.318,3.201,,Conroy (2012)
158.46,17.41,5,2012,5,24.37,34.67,0.334,2.339,,Conroy (2012)
159.74,8.62,5,2012,5,26.89,34.9,0.337,2.102,,Conroy (2012)
161.03,6.34,5,2012,5,27.17,34.94,0.338,3.644,,Conroy (2012)
159.35,11.33,5,2012,5,25.87,34.64,0.347,1.326,,Conroy (2012)
160.54,5.31,5,2012,5,27.41,34.92,0.356,3.888,,Conroy (2012)
159.53,10.07,5,2012,5,25.9,34.59,0.372,1.23,,Conroy (2012)
161.49,5.73,5,2012,5,27.21,34.92,0.386,2.335,,Conroy (2012)
159.12,12.89,5,2012,5,25.67,34.74,0.388,0.91,,Conroy (2012)
161.26,6.04,5,2012,5,27.15,34.94,0.396,3.284,,Conroy (2012)
158.85,14.75,5,2012,5,24.66,34.58,0.399,0.484,,Conroy (2012)
160.66,5.85,5,2012,5,-99.9,-99.9,0.399,3.055,,Conroy (2012)
158.21,19.07,5,2012,5,24.53,34.67,0.409,1.8,,Conroy (2012)
158.67,15.99,5,2012,5,24.67,34.62,0.413,-0.98,,Conroy (2012)
158.63,2.23,5,2012,5,27.62,35.21,0.418,3.036,,Conroy (2012)
157.54,1.36,5,2012,5,27.51,35.3,0.426,2.541,,Conroy (2012)
158.63,2.23,5,2012,5,27.43,35.23,0.427,2.529,,Conroy (2012)
159.55,4,5,2012,5,27.184,35.09,0.455,2.738,,Conroy (2012)
161.06,6.3,5,2012,5,27.16,34.93,0.457,1.884,,Conroy (2012)
160.36,5.14,5,2012,5,27.29,34.99,0.468,2.579,,Conroy (2012)
161.01,6.41,5,2012,5,27.13,34.93,0.471,2.5,,Conroy (2012)
159.93,4.76,5,2012,5,27.24,35.06,0.472,3.139,,Conroy (2012)
160.97,6.62,5,2012,5,27.17,34.88,0.481,4.022,,Conroy (2012)
156.06,-0.23,5,2012,5,27.24,35.35,0.494,5.056,,Conroy (2012)
160.84,7.54,5,2012,5,27.02,34.97,0.503,2.051,,Conroy (2012)
158.9,9.04,5,2012,5,26.91,34.9,0.511,4.742,,Conroy (2012)
158.1,1.9,5,2012,5,27.64,35.34,0.534,4.136,,Conroy (2012)
158.9,2.7,5,2012,5,27.67,35.17,0.545,3.38,,Conroy (2012)
159.93,4.76,5,2012,5,27.24,35.06,0.553,2.935,,Conroy (2012)
160.74,6.01,5,2012,5,27.33,34.93,0.554,3.43,,Conroy (2012)
160.26,4.85,5,2012,5,27.29,35.02,0.56,2.207,,Conroy (2012)
157.56,1.43,5,2012,5,27.36,35.36,0.563,5.001,,Conroy (2012)
