Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-15.99951,35.20140,10,2010,80.900,16.97000,36.290001,-0.57000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,41.400,22.17000,36.639999,-0.52000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,21.700,22.16000,36.639999,-0.43000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,100.700,16.40000,36.250000,-0.37000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,1237.900,5.46000,34.990002,-0.16000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,1484.200,4.63000,35.009998,-0.14000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,2471.700,3.09000,34.950001,-0.14000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,3531.300,2.55000,34.910000,-0.14000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,1087.200,5.92000,34.950001,-0.14000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,2224.500,3.37000,34.970001,-0.13000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,2074.900,4.17000,35.090000,-0.07000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,3848.600,2.46000,34.910000,-0.07000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,2469.200,3.08000,34.950001,-0.07000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,1235.500,5.28000,34.970001,-0.05000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,940.800,6.42000,34.900002,-0.04000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,2074.600,3.50000,34.970001,-0.03000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,1483.300,4.69000,35.020000,-0.02000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,2469.500,3.16000,34.959999,-0.02000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,3209.400,2.64000,34.919998,-0.02000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,3257.400,2.65000,34.930000,-0.01000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,2665.900,3.09000,34.970001,0.01000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,1089.500,5.88000,34.950001,0.02000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,792.200,7.20000,34.919998,0.02500,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,2717.500,2.92000,34.939999,0.03000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,2271.900,3.27000,34.959999,0.03000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,891.100,6.56000,34.930000,0.07000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,4242.400,2.41000,34.900002,0.07500,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,235.000,14.48000,35.860001,0.08000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,1531.600,4.38000,34.990002,0.08000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,659.200,8.31000,35.020000,0.09000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,2715.800,2.95000,34.950001,0.09000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,2715.300,2.98000,34.959999,0.09000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,2370.500,3.53000,35.020000,0.09500,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,2962.800,2.76000,34.930000,0.10000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,792.600,7.06000,34.930000,0.11000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,3779.400,2.41000,34.900002,0.11000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,91.200,15.52000,35.790001,0.11000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,2809.500,2.85000,34.950001,0.11500,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,2961.900,2.81000,34.950001,0.11500,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,1977.900,3.66000,34.980000,0.13000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,3553.000,2.53000,34.919998,0.13000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,2469.200,3.26000,34.990002,0.13000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,1383.600,4.84000,34.990002,0.13000,-99.9,,Geotraces Jenkins et al. (2010)
