Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-37.45929,-32.08940,3,2011,1249.000,3.20700,34.414001,-0.91000,-3.01000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,5146.000,0.26600,34.667999,-0.76000,-4.54000,,Geotraces Rijkenberg et al. (2011)
-37.45929,-32.08940,3,2011,1499.000,2.94400,34.569000,-0.75000,-2.89000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,4893.000,0.41500,34.679001,-0.74000,-3.34000,,Geotraces Rijkenberg et al. (2011)
-37.45929,-32.08940,3,2011,1001.000,3.98700,34.291000,-0.72000,-2.32000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,250.000,5.66200,34.251999,-0.71000,-2.67000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,750.000,3.71700,34.238998,-0.70000,-1.93000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,4844.000,0.43300,34.681999,-0.67000,-3.24000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,4838.000,0.24900,34.668999,-0.66000,-4.20000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,5001.000,0.25800,34.668999,-0.64000,-4.34000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,4560.000,0.28900,34.674000,-0.64000,-2.85000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,4000.000,0.54800,34.688000,-0.62000,-4.06000,,Geotraces Rijkenberg et al. (2011)
-28.46011,-5.67700,3,2011,5532.000,0.72400,34.699001,-0.62000,-3.59000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,4498.000,0.31400,34.674999,-0.61000,-4.09000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,4787.000,0.24400,34.669998,-0.61000,-3.78000,,Geotraces Rijkenberg et al. (2011)
-35.79599,-29.05790,3,2011,751.000,5.57500,34.339001,-0.59000,-2.07000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,1000.000,3.77200,34.514999,-0.59000,-1.27000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,499.000,4.42900,34.167000,-0.58000,-1.41000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,750.000,4.61800,34.202999,-0.58000,-3.30000,,Geotraces Rijkenberg et al. (2011)
-28.46011,-5.67700,3,2011,4999.000,0.80400,34.716999,-0.57000,-2.92000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,3502.000,1.06400,34.719002,-0.56000,-3.40000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,5132.000,0.26400,34.667999,-0.56000,-2.96000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,4500.000,0.30800,34.674000,-0.56000,-3.83000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,751.000,5.30300,34.251999,-0.55000,-3.59000,,Geotraces Rijkenberg et al. (2011)
-35.79599,-29.05790,3,2011,1003.000,3.64200,34.323002,-0.55000,-1.43000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,4497.000,1.14300,34.755001,-0.55000,-2.56000,,Geotraces Rijkenberg et al. (2011)
