Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,_18O (VSMOW),dD (VSMOW),notes,Citation
-95.4323,28.6244,8,2007,0,-99.9,32.1,0.48,-99.9,,"Dimarco et al., 2012"
-95.5835,28.5588,8,2007,0,-99.9,32.43,0.53,3,,"Dimarco et al., 2012"
-95.7288,28.509,8,2007,0,-99.9,32.51,0.69,-99.9,,"Dimarco et al., 2012"
-95.8168,28.6419,8,2007,0,-99.9,33.67,0.75,-99.9,,"Dimarco et al., 2012"
-95.6757,28.6925,8,2007,0,-99.9,32.6,0.64,-99.9,,"Dimarco et al., 2012"
-95.4986,28.7143,8,2007,0,-99.9,31.53,0.56,-99.9,,"Dimarco et al., 2012"
-95.6397,28.642,8,2007,0,-99.9,30.56,0.51,-99.9,,"Dimarco et al., 2012"
-95.7859,28.5918,8,2007,0,-99.9,32.81,0.64,-99.9,,"Dimarco et al., 2012"
-95.7459,28.552,8,2007,0,-99.9,32.83,0.65,-99.9,,"Dimarco et al., 2012"
-95.4647,28.6594,8,2007,0,-99.9,31.16,0.54,-99.9,,"Dimarco et al., 2012"
-95.3714,28.8345,8,2007,0,-99.9,32.87,0.74,-99.9,,"Dimarco et al., 2012"
-95.3398,28.793,8,2007,0,-99.9,31.55,0.44,-99.9,,"Dimarco et al., 2012"
-95.3077,28.7417,8,2007,0,-99.9,31.24,0.41,-99.9,,"Dimarco et al., 2012"
-95.2734,28.701,8,2007,0,-99.9,31.47,0.59,-99.9,,"Dimarco et al., 2012"
-95.1811,28.8925,8,2007,0,-99.9,31.98,0.62,-99.9,,"Dimarco et al., 2012"
-95.2115,28.9425,8,2007,0,-99.9,32.27,0.65,-99.9,,"Dimarco et al., 2012"
-91.7689,29.0608,4,2008,0,-99.9,25.41,-1.04,-5.9,,Strauss et al. 2012
-91.8739,28.9376,4,2008,0,-99.9,27.9,-0.52,-3.7,,Strauss et al. 2012
-90.7841,28.8451,4,2008,0,-99.9,24.41,-1.26,-8.7,,Strauss et al. 2012
-92.333,29.1773,4,2008,0,-99.9,26.92,-0.75,-4,,Strauss et al. 2012
-92.3757,29.061,4,2008,0,-99.9,26.45,-0.76,-6.4,,Strauss et al. 2012
-92.7054,29.2014,4,2008,0,-99.9,30.71,0.17,0,,Strauss et al. 2012
-92.4626,29.2985,4,2008,0,-99.9,27.68,-0.53,-3.4,,Strauss et al. 2012
-92.5515,29.1722,4,2008,0,-99.9,29.5,-0.15,-3.2,,Strauss et al. 2012
-90.7796,28.5823,4,2008,0,-99.9,29.35,-0.24,-3,,Strauss et al. 2012
-90.6811,28.8038,4,2008,0,-99.9,23.25,-1.47,-10.7,,Strauss et al. 2012
-92.1133,29.139,4,2008,0,-99.9,26.94,-0.69,-4.2,,Strauss et al. 2012
-92.1773,29.0213,4,2008,0,-99.9,27.89,-0.28,-3.7,,Strauss et al. 2012
-90.6823,29.0213,4,2008,0,-99.9,26.51,-0.4,-5.5,,Strauss et al. 2012
-90.5474,28.9625,4,2008,0,-99.9,23.15,-1.53,-10.7,,Strauss et al. 2012
-90.5474,28.9625,4,2008,0,-99.9,21.89,-1.84,-11.3,,Strauss et al. 2012
-91.9104,29.1228,4,2008,0,-99.9,25.39,-1.08,-6.4,,Strauss et al. 2012
-90.5665,28.8424,4,2008,0,-99.9,22.54,-0.77,-5.8,,Strauss et al. 2012
